top_two_selection_variant,exposure_universe,default_mapping_rule,premium_variant,issuer_concept,year,state,county_years,any_turnover_county_years,across_issuer_turnover_county_years,within_issuer_turnover_county_years,enrollment,any_enrollment_weighted_exposure,across_enrollment_weighted_exposure
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,IN,92,92,0,92,156926.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,KS,105,105,87,20,107784.0,1.0,0.9540284272248201
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,LA,64,28,0,28,99626.0,0.4983839559954229,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,MI,83,34,0,34,303550.0,0.7833042332399934,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,MO,115,89,0,89,250341.0,0.9347090568464614,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,MS,82,82,0,82,143014.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,MT,56,49,0,49,51134.0,0.7028591543786913,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,NC,85,85,0,85,571027.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,ND,53,37,0,37,29873.0,0.5690422789810197,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,NH,10,10,0,10,52497.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,OH,88,76,0,76,259999.0,0.95893830360886,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,OK,77,62,0,62,189444.0,0.8711756508519668,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,OR,36,0,0,0,146602.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,SC,46,46,0,46,300392.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,SD,66,66,0,66,41339.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,TN,95,87,0,87,273680.0,0.9320885705933938,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,TX,254,193,0,193,1840940.0,0.9414005888296196,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,UT,29,10,0,10,256932.0,0.8636565316893186,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,WI,72,54,0,54,212209.0,0.824880188870406,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,WV,55,0,0,0,23037.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2022,WY,23,23,0,23,34762.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,AL,67,61,0,61,258327.0,0.7919381249346759,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,AR,75,0,0,0,100407.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,AZ,15,8,0,8,235229.0,0.8059380433534981,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,DE,3,3,0,3,34742.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,FL,67,50,0,50,3225435.0,0.9457921179623834,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,GA,145,96,0,96,790585.0,0.8157022964007665,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,IA,99,98,0,98,82704.0,0.9733749274521184,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,IL,102,0,0,0,342995.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,IN,92,65,0,65,185354.0,0.7326898799054782,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,KS,105,30,0,30,124473.0,0.3673085729435299,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,LA,64,29,0,29,120804.0,0.6944554816065693,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,MI,83,27,0,27,322273.0,0.5318906641263773,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,MO,115,74,0,74,257629.0,0.596955311707921,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,MS,82,27,0,27,183478.0,0.543580156749038,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,MT,56,56,0,56,53860.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,NC,85,53,3,50,684479.0,0.5835153452479915,0.0027787558128152946
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,ND,53,53,0,53,34130.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,NH,10,10,0,10,54557.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,OH,88,70,1,69,294644.0,0.8518347565197323,0.0067539131969427514
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,OK,77,16,0,16,203157.0,0.15593358830854956,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,OR,36,0,0,0,141963.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,SC,46,35,1,35,382968.0,0.7590085855737294,0.010930417162791669
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,SD,66,66,0,66,47591.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,TN,95,17,0,17,348097.0,0.3707386159604938,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,TX,254,229,0,229,2410789.0,0.253041639065053,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,UT,29,17,0,17,295196.0,0.25327578964484615,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,WI,72,36,0,36,221128.0,0.6420670380955826,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,WV,55,9,0,9,28325.0,0.11714033539276257,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2023,WY,23,23,0,23,38565.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,AL,67,53,0,53,386195.0,0.7915949196649361,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,AR,75,75,0,75,156607.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,AZ,15,12,0,12,348055.0,0.9818649351395613,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,DE,3,3,0,3,44842.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,FL,67,52,4,52,4211902.0,0.9270830612868011,0.09520140782003
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,GA,145,110,0,110,1160349.0,0.9049251561383688,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,IA,99,63,0,63,111423.0,0.7065148129201332,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,IL,102,0,0,0,398814.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,IN,92,67,6,61,295772.0,0.7755230380157689,0.020505659764954085
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,KS,105,73,0,73,171376.0,0.6084749323125759,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,LA,64,14,0,14,212493.0,0.554550032236356,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,MI,83,32,0,32,418100.0,0.5305285816790242,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,MO,115,40,0,40,359369.0,0.39455267427073565,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,MS,82,64,0,64,286410.0,0.6783352536573444,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,MT,56,1,0,1,66336.0,0.13077363724071395,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,NC,85,69,0,69,877747.0,0.8752294226012735,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,ND,53,30,0,30,38535.0,0.721292331646555,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,NH,10,0,0,0,65117.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,OH,88,47,0,47,477793.0,0.5938575910488433,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,OK,77,58,0,58,277436.0,0.815546648596433,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,OR,36,0,0,0,145509.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,SC,46,46,0,46,571175.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,SD,66,50,0,50,52974.0,0.7382111979461623,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,TN,95,71,0,71,555103.0,0.687411165135119,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,TX,254,194,3,191,3484613.0,0.7747526052390897,0.001322958962731299
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,UT,29,13,0,13,366939.0,0.9417859644246046,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,WI,72,45,1,44,266327.0,0.5533273006492019,0.0010213008819984456
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,WV,55,1,0,1,51046.0,0.11084120205305019,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,current_ehb_all_states,plan_panel_preferred,2024,WY,23,23,0,23,42293.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,AL,67,14,0,14,219314.0,0.5295968337634624,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,AR,75,75,0,75,88226.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,AZ,15,9,0,9,199706.0,0.8702943326690235,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,DE,3,0,0,0,32113.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,FL,67,66,1,65,2723094.0,0.9989926899328484,0.0005732449926443964
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,GA,145,145,0,145,633138.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,IA,99,93,0,93,72240.0,0.9324335548172757,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,IL,102,0,0,0,323427.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,IN,92,92,0,92,156926.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,KS,105,105,87,20,107784.0,1.0,0.9540284272248201
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,LA,64,32,0,32,99626.0,0.557053379639853,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,MI,83,34,3,34,303550.0,0.7833042332399934,0.40256300444737275
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,MO,115,89,0,89,250341.0,0.9347090568464614,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,MS,82,82,0,82,143014.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,MT,56,49,0,49,51134.0,0.7028591543786913,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,NC,85,85,5,85,571027.0,1.0,0.07590359124875005
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,ND,53,37,0,37,29873.0,0.5690422789810197,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,NH,10,10,0,10,52497.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,OH,88,80,0,80,259999.0,0.9718998919226612,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,OK,77,62,0,62,189444.0,0.8711756508519668,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,OR,36,0,0,0,146602.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,SC,46,46,0,46,300392.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,SD,66,66,0,66,41339.0,1.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,TN,95,87,0,87,273680.0,0.9320885705933938,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,TX,254,194,0,194,1840940.0,0.9437336360772214,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,UT,29,22,0,22,256932.0,0.9635701275045537,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,WI,72,57,0,57,212209.0,0.8426739676451046,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,WV,55,0,0,0,23037.0,0.0,0.0
county_rating_area_specific_top_two,exactly_two_plans,current_repo_rule,ehb_named_states_only,plan_panel_preferred,2022,WY,23,23,0,23,34762.0,1.0,0.0
